"ID,Tipo,SKU,""GTIN, UPC, EAN o ISBN"",Nombre,Publicado,""¿Está destacado?"",""Visibilidad en el catálogo"",""Descripción corta"",Descripción,""Día en que empieza el precio rebajado"",""Día en que termina el precio rebajado"",""Estado del impuesto"",""Clase de impuesto"",¿Existencias?,Inventario,""Cantidad de bajo inventario"",""¿Permitir reservas de productos agotados?"",""¿Vendido individualmente?"",""Peso (kg)"",""Longitud (cm)"",""Anchura (cm)"",""Altura (cm)"",""¿Permitir valoraciones de clientes?"",""Nota de compra"",""Precio rebajado"",""Precio normal"",Categorías,Etiquetas,""Clase de envío"",Imágenes,""Límite de descargas"",""Días de caducidad de la descarga"",Superior,""Productos agrupados"",""Ventas dirigidas"",""Ventas cruzadas"",""URL externa"",""Texto del botón"",Posición,Marcas,""Nombre del atributo 1"",""Valor(es) del atributo 1"",""Atributo visible 1"",""Atributo global 1"",""Nombre del atributo 2"",""Valor(es) del atributo 2"",""Atributo visible 2"",""Atributo global 2"",""Nombre del atributo 3"",""Valor(es) del atributo 3"",""Atributo visible 3"",""Atributo global 3"",""Nombre del atributo 4"",""Valor(es) del atributo 4"",""Atributo visible 4"",""Atributo global 4""";;;;;;;;;;;;;;;;;;;;;;
"15574,simple,,,""Apple Pencil 2da Generación"",1,0,visible,""<div class=""""para-list as-pdp-lastparalist"""">";;;;;;;;;;;;;;;;;;;;;;
\n<ul>;;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>El nuevo Apple Pencil funciona con una precisión asombrosa y tiene una de las latencias más bajas del sector, así que es ideal para dibujar, colorear, tomar notas, anotar emails y mil cosas más. Y es tan fácil de usar como un lápiz de verdad.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Además, tiene una superficie táctil muy intuitiva que te permite tocar dos veces para cambiar de herramienta sin tener que soltarlo.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Tiene un lado plano que se acopla magnéticamente para cargarlo y enlazarlo de forma automática.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li><strong>Compatible con</strong> el iPad Pro 2020 11'' |  iPad Pro de 12,9'' (1ra, 2da, 3ra Generación) | iPad Pro M1 | iPad Air 4ta Gen</li>";;;;;;;;;;;;;;;;;;;;;;
\n</ul>;;;;;;;;;;;;;;;;;;;;;;
"\n</div>"",""<div class=""""para-list as-pdp-lastparalist"""">";;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\nEl nuevo Apple Pencil funciona con una precisión asombrosa y tiene una de las latencias más bajas del sector, así que es ideal para dibujar, colorear, tomar notas, anotar emails y mil cosas más. Y es tan fácil de usar como un lápiz de verdad.;;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\n</div>;;;;;;;;;;;;;;;;;;;;;;
"\n<div class=""""para-list as-pdp-lastparalist"""">";;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\nAdemás, tiene una superficie táctil muy intuitiva que te permite tocar dos veces para cambiar de herramienta sin tener que soltarlo.;;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\n</div>;;;;;;;;;;;;;;;;;;;;;;
"\n<div class=""""para-list as-pdp-lastparalist"""">";;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\nEstá pensado para el iPad Pro de 11 pulgadas y el iPad Pro de 12,9 pulgadas (3.ª generación), y tiene un lado plano que se acopla magnéticamente para cargarlo y enlazarlo de forma automática.;;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
"\n</div>"",,,taxable,,1,,,0,0,,,,,0,,,86.086,iPad,,,https://mobilestore.ec/wp-content/uploads/2024/11/Apple-Pencil-2da-Generacion-Mobile-Store-Ecuador-1.webp,,,,,,,,,121,,,,,,,,,";;;;;;;;;;;;;;;;;;;;;;
"16858,simple,,,""GoPro Head Strap 2.0"",1,0,visible,""<ul>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Incluye correa para la cabeza, correa superior, soporte de clip para cámara y tornillo de mariposa.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Tres configuraciones de montaje diferentes incluyen diadema completamente configurada con correa superior, solo diadema y solo clip.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>La diadema completamente configurada con correa superior brinda soporte y estabilidad para actividades de alta intensidad como escalada en roca, deportes de resistencia y más.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>La configuración de solo diadema proporciona un ajuste cómodo para actividades como pescar, cocinar o jugar con los niños.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>La diadema principal se puede desenganchar fácilmente para montarla en troncos de árboles, postes u otros objetos.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>El soporte de clip extraíble te permite sujetar tu GoPro a gorras, cinturones, prendas exteriores y más</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Materiales resistentes al agua, de alto rendimiento y diseño antideslizante.</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Compaible con todas la GoPro</li>";;;;;;;;;;;;;;;;;;;;;;
"\n</ul>"",""Correa para la cabeza GoPro + QuickClip";;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\nIncluye una correa para la cabeza y un QuickClip para una variedad de opciones de montaje en la cabeza. Totalmente ajustable para adaptarse a todos los tamaños, la correa para la cabeza se puede usar sobre un casco o directamente en la cabeza. El QuickClip se puede utilizar para conectar su GoPro a una gorra de béisbol al revés u otro objeto de 3 milímetros a 10 milímetros de grosor.;;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
\nCompatibilidad;;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;
"\n- Todas las cámaras GoPro."",,,taxable,,1,,,0,0,,,,,0,,,30.426,""GoPro | Distribuidores Oficiales"",,,""https://mobilestore.ec/wp-content/uploads/2024/11/GoPro-Head-Strap-2.0-Mobile-Store-Ecuador1-1.webp, https://mobilestore.ec/wp-content/uploads/2024/11/GOPRO-HEAD-STRAP-QUICLCLIP-Mobile-Store-Ecuador.webp"",,,,,,,,,198,,,,,,,,,";;;;;;;;;;;;;;;;;;;;;;
"16865,simple,,,""Gopro Sleeve + Lanyard Estuche Negro Silicona para Hero7"",1,0,visible,""<ul>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Se adapta a HERO7 / 6/5 y HERO 2018</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""paragraph paragraph-small"""">El cordón ajustable mantiene su GoPro a mano: úselo o conéctelo a su equipo</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""paragraph paragraph-small"""">La funda de silicona de primera calidad se ajusta cómodamente sin agregar volumen adicional</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""paragraph paragraph-small"""">El material delgado y flexible facilita la inserción y extracción de su GoPro</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""paragraph paragraph-small"""">Le permite acceder a los botones de la cámara y la pantalla LCD trasera para una funcionalidad completa</li>";;;;;;;;;;;;;;;;;;;;;;
"\n</ul>"",""Tome su HERO y vaya con la funda GoPro Sleeve + Lanyard, compatible con las HERO7 Black / Silver / White, HERO6 Black, HERO5 Black y HERO 2018. Esta funda de silicona flexible negra ajustada tiene un cordón ajustable adjunto. Asegure el cordón a su equipo o alrededor de su cuello o muñeca para un fácil acceso. Además, presenta recortes para la lente, LCD posterior"",,,taxable,,1,,,0,0,,,,,0,,4.339,26.078,""GoPro | Distribuidores Oficiales"",,,https://mobilestore.ec/wp-content/uploads/2024/11/Estuche-GoPro-Hero-7-Mobile-Store-Ecuador.webp,,,,,,,,,200,,,,,,,,,";;;;;;;;;;;;;;;;;;;;;;
"16868,simple,,,""Gopro Super Suit Carcasa De Buceo Hero  2018/5/6/7"",1,0,visible,""<ul>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""column""""> La mejor protección para tu GOPRO durante actividades extremas y buceo en aguas profundas</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""column"""">Sumergible hasta 60 m (196 pies)</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""column"""">Incluye dos puertas traseras táctiles sumergibles que pueden usarse con Floaty1</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""column"""">Se debe extraer la lente de la tapa de HERO5 Black antes de colocar la cámara en la carcasa</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li class=""""column"""">La lente de vidrio plana ofrece la máxima nitidez de imagen, tanto sobre como bajo el agua</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Compatible con: HERO7 Black/HERO6 Black/HERO5 Black</li>";;;;;;;;;;;;;;;;;;;;;;
\n</ul>;;;;;;;;;;;;;;;;;;;;;;
"\n<div></div>"",,,,taxable,,1,,,0,0,,,,,0,,1.730,47.817,""GoPro | Distribuidores Oficiales"",,,""https://mobilestore.ec/wp-content/uploads/2024/11/GOPRO-SUPER-SUIT-CARCASA-DE-BUCEO-HERO-Mobile-Store-Ecuador.webp, https://mobilestore.ec/wp-content/uploads/2024/11/GOPRO-SUPER-SUIT-CARCASA-DE-BUCEO-HERO-Mobile-Store-Ecuador2.webp"",,,,,,,,,201,,,,,,,,,";;;;;;;;;;;;;;;;;;;;;;
"17013,simple,,,""CASE - Silicone Case For Iph Xs Max - Nectarine"",1,0,visible,""<ul>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Esta funda de silicona, diseñada especialmente por Apple para el iPhone XS Max</li>";;;;;;;;;;;;;;;;;;;;;;
"\n 	<li>Se adapta perfectamente a los botones de volumen, el botón lateral y las curvas del teléfono, y no abulta nada.</li>";;;;;;;;;;;;;;;;;;;;;;
